Product_ID,Product_Category,Launch_Region,Development_Cost,Launch_Marketing_Spend,Unit_Selling_Price,Unit_Production_Cost,First_Year_Units_Sold,Distribution_Coverage,Customer_Rating,First_Year_Profit
PRD-1032,Smart Home,Europe,189000,110000,136.05,62.06,10300,0.81,4.6,463097.0000000001
PRD-1253,Outdoor Tech,Europe,211000,118000,204.12,75.48,8100,0.61,4,712983.9999999999
PRD-2146,Kitchen Appliances,Latin America,143000,92000,134.16,52.38,7600,0.69,4.6,386528
PRD-2143,Health & Fitness,Asia-Pacific,136000,96000,96.29,34.45,32500,0.78,5,1777800
PRD-1378,Home Automation,Asia-Pacific,223000,177000,189.53,69.16,17200,0.74,4.3,1670364
PRD-1256,Gaming Gear,North America,350000,245000,366.45,125.55,20500,0.89,5,4343449.999999999
PRD-2987,Gaming Gear,Asia-Pacific,227000,171000,172.79,73.44,25300,0.74,4.9,2115555
PRD-2869,Smart Home,Middle East,142000,99000,208.05,80.08,6900,0.53,4.5,641993.0000000001
PRD-2675,Kitchen Appliances,Europe,252000,147000,240.87,98.01,11500,0.84,4.7,1243890.0000000002
PRD-1514,Wearable Tech,North America,368000,233000,296.01,110.4,21800,0.93,4.3,3445297.9999999995
PRD-2544,Kitchen Appliances,North America,242000,125000,209.25,95.23,14300,0.83,4.5,1263486
PRD-1148,Home Automation,Europe,256000,174000,258.12,92.82,14700,0.77,4.2,1999910
PRD-3323,Outdoor Tech,Europe,162000,111000,181.44,79.92,8600,0.61,4.5,600072
PRD-2833,Health & Fitness,Asia-Pacific,113000,94000,98.99,30.55,33000,0.78,4.8,2051520
PRD-2562,Smart Home,Europe,191000,116000,140.53,55.1,11300,0.81,4.3,658359.0000000001
PRD-1418,Home Automation,Europe,261000,192000,215.1,81.9,14500,0.77,4.6,1478399.9999999998
PRD-1691,Consumer Electronics,North America,215000,162000,179.99,71.99,13100,0.84,4.1,1037800.0000000002
PRD-2122,Wearable Tech,Asia-Pacific,272000,217000,266.97,103.88,13600,0.8,4.3,1729024.0000000005
PRD-2958,Office Equipment,North America,89000,46000,62.57,24.96,15000,0.73,3.9,429150
PRD-3318,Office Equipment,North America,74000,47000,60.63,22.8,19200,0.73,3.7,605336
PRD-2591,Consumer Electronics,North America,258000,203000,185.99,79.19,16700,0.84,4.7,1322560.0000000002
PRD-3191,Consumer Electronics,North America,260000,157000,203.99,83.99,12900,0.84,,1131000.0000000002
PRD-3475,Personal Audio,Latin America,67000,49000,48.99,18.5,15400,0.69,3.8,353546.00000000006
PRD-2998,Home Automation,Asia-Pacific,251000,174000,183.54,78.28,16300,0.74,4.5,1290737.9999999998
PRD-2041,Smart Home,North America,357000,244000,290.16,101.85,28600,0.95,4.8,4784666.000000001
PRD-1855,Personal Audio,Latin America,81000,50000,50.49,20.17,16500,0.69,3.6,369280
PRD-1681,Smart Home,North America,316000,238000,298.53,111.3,21800,0.95,5,3527613.999999999
PRD-2981,Consumer Electronics,,248000,167000,203.99,83.99,15800,0.84,4.3,1481000.0000000002
PRD-2674,Personal Audio,Asia-Pacific,75000,60000,60.59,22.89,41600,0.82,5,1433320.0000000002
PRD-1942,Wearable Tech,Asia-Pacific,297000,184000,244.51,98,-18300,0.8,4.4,2200133
PRD-1559,Health & Fitness,Middle East,,78000,133.44,56.16,7700,0.6,3.5,375056
PRD-2344,Personal Audio,Asia-Pacific,76000,63000,56.99,19.11,34400,0.82,5,1164072
PRD-3326,Gaming Gear,North America,368000,230000,324.57,133.65,21700,0.89,4.5,3544963.9999999995
PRD-2941,Smart Home,North America,313000,227000,298.53,111.3,24200,0.95,4.3,3990965.999999999
PRD-2378,Home Automation,Europe,300000,207000,229.44,98.28,14700,0.77,4.8,1421052
PRD-2138,Home Automation,Europe,248000,204000,250.95,84.63,16500,0.77,4.2,2292280
PRD-2389,Smart Home,Middle East,182000,95000,201.48,90.64,8400,0.53,4.4,654055.9999999999
PRD-1708,Home Automation,Asia-Pacific,221000,169000,201.5,82.84,13600,0.74,4.3,1223776
PRD-2265,Personal Audio,Europe,105000,65000,77.55,27.56,30500,0.79,4.4,1354694.9999999998
PRD-3420,Consumer Electronics,Latin America,159000,132000,155.19,64.48,7600,0.61,4.2,398396
PRD-2786,Gaming Gear,North America,354000,258000,376.92,137.7,22100,0.89,4.8,4674762.000000001
PRD-1957,Office Equipment,Latin America,102000,56000,77.48,27.16,7100,0.6,3.7,199272.00000000006
PRD-2908,Home Automation,Asia-Pacific,225000,136000,195.51,76,18500,0.74,4,1849935
PRD-2018,Home Automation,Europe,264000,202000,236.61,87.36,17300,0.77,5,2116025
PRD-2909,health & fitness,Middle East,155000,94000,125.1,46.8,7300,0.6,4.3,322590
PRD-1007,Gaming Gear,Asia-Pacific,210000,160000,179.99,68,22000,0.78,4.8,2093780
PRD-2332,Wearable Tech,Asia-Pacific,286000,,266.97,103.88,17300,0.8,4,2330457.0000000005
PRD-2337,Office Equipment,Europe,103000,64000,97.01,33.32,11600,0.78,4.5,571804
PRD-2980,Health & Fitness,Latin America,119000,69000,109.45,33.84,13100,0.74,4.2,802491
PRD-1882,Wearable Tech,Asia-Pacific,305000,213000,237.03,89.18,15300,0.8,4.8,1744105
PRD-2068,Home Automation,Asia-Pacific,251000,174000,195.51,76,17600,0.74,4.1,1678376
PRD-2416,Kitchen Appliances,Latin America,146000,74000,138.03,57.24,11400,0.69,3.9,701005.9999999999
PRD-1986,Gaming Gear,Middle East,215000,116000,195.69,72.72,6700,0.5,4.1,492899
PRD-1126,Kitchen Appliances,Latin America,127000,98000,122.55,49.14,9700,0.69,3.7,487077
PRD-1589,Health & Fitness,Middle East,119000,85000,150.12,53.04,5500,0.6,4.3,329940.0000000001
PRD-2380,Health & Fitness,Latin America,118000,,100.5,39.24,11300,0.74,3.8,509238
PRD-3331,Smart Home,North America,301000,251000,265.05,95.55,22600,0.95,5,3278700
PRD-2579,Health & Fitness,Middle East,115000,72000,145.95,48.36,6200,0.6,4.3,418057.9999999999
PRD-1545,Personal Audio,Europe,109000,83000,82.35,26.77,41000,0.79,4.8,2086780
PRD-2182,Wearable Tech,Asia-Pacific,263000,188000,274.45,92.12,16600,0.8,3.9,2575677.9999999995
PRD-2382,Smart Home,Europe,207000,133000,158.47,63.8,14800,0.81,4.4,1061116
PRD-2737,Office Equipment,Latin America,95000,51000,75.25,30.52,6200,0.6,4,131326
PRD-3177,Office Equipment,Europe,125000,,97.01,33.32,12400,0.78,4.4,595756.0000000001
PRD-2947,Office Equipment,Latin America,99000,47000,75.25,30.52,7800,0.6,3.7,202894.00000000006
PRD-1818,Office Equipment,North America,85000,49000,66.44,24.24,12800,0.73,3.8,406160
PRD-3113,Outdoor Tech,Europe,211000,118000,181.44,79.92,10200,,3.7,706504
