Product_ID,Product_Category,Launch_Region,Development_Cost,Launch_Marketing_Spend,Unit_Selling_Price,Unit_Production_Cost,First_Year_Units_Sold,Distribution_Coverage,Customer_Rating,First_Year_Profit,Unit_Margin,Margin_x_Units
PRD-1032,Smart Home,Europe,189000.0,110000.0,136.05,62.06,10300.0,0.81,4.6,463097.0000000001,73.99000000000001,762097.0000000001
PRD-1253,Outdoor Tech,Europe,211000.0,118000.0,204.12,75.48,8100.0,0.61,4.0,712983.9999999999,128.64,1041983.9999999999
PRD-2146,Kitchen Appliances,Latin America,143000.0,92000.0,134.16,52.38,7600.0,0.69,4.6,386528.0,81.78,621528.0
PRD-2143,Health & Fitness,Asia-Pacific,136000.0,96000.0,96.29,34.45,32500.0,0.78,5.0,1777800.0,61.84,2009800.0
PRD-1378,Home Automation,Asia-Pacific,223000.0,177000.0,189.53,69.16,17200.0,0.74,4.3,1670364.0,120.37,2070364.0
PRD-1256,Gaming Gear,North America,350000.0,245000.0,366.45,125.55,20500.0,0.89,5.0,4343449.999999999,240.89999999999998,4938449.999999999
PRD-2987,Gaming Gear,Asia-Pacific,227000.0,171000.0,172.79,73.44,25300.0,0.74,4.9,2115555.0,99.35,2513555.0
PRD-2869,Smart Home,Middle East,142000.0,99000.0,208.05,80.08,6900.0,0.53,4.5,641993.0000000001,127.97000000000001,882993.0000000001
PRD-2675,Kitchen Appliances,Europe,252000.0,147000.0,240.87,98.01,11500.0,0.84,4.7,1243890.0000000002,142.86,1642890.0000000002
PRD-1514,Wearable Tech,North America,368000.0,233000.0,296.01,110.4,21800.0,0.93,4.3,3445297.9999999995,185.60999999999999,4046297.9999999995
PRD-2544,Kitchen Appliances,North America,242000.0,125000.0,209.25,95.23,14300.0,0.83,4.5,1263486.0,114.02,1630486.0
PRD-1148,Home Automation,Europe,256000.0,174000.0,258.12,92.82,14700.0,0.77,4.2,1999910.0,165.3,2429910.0
